# Number T of years with data
      38
# Last year T' with surface reading
      14
# Number of age classes
      23
# Max. age for surface readings
      11
# Minimum prop. in an age class (re grouping classes)
    0.02
# Actual age k of first year class
    7
# Weight parameters (w1,winf,lamw)
    0.4979208   1.297762   0.909001
# Maturity parameters (lamm,bm)
    0.5289053    0.0252396
# Age/weight data (yr, age, prop, wgt)
    1963       7 0.012000 0.529000
    1963       8 0.016000 0.572000
    1963       9 0.023000 0.614000
    1963      10 0.070000 0.654000
    1963      11 0.210000 0.694000
    1963      12 0.178000 0.732000
    1963      13 0.170000 0.770000
    1963      14 0.080000 0.806000
    1963      15 0.045000 0.841000
    1963      16 0.042000 0.876000
    1963      17 0.038000 0.909000
    1963      18 0.036000 0.942000
    1963      19 0.033000 0.973000
    1963      20 0.017000 1.000000
    1963      21 0.010000 1.030000
    1963      22 0.012000 1.060000
    1963      23 0.004000 1.090000
    1963      24 0.003000 1.120000
    1963      25 0.001000 1.150000
    1963      26 0.000000 1.170000
    1963      27 0.000000 1.200000
    1963      28 0.000000 1.220000
    1963      29 0.000000 1.000000
    1964       7 0.000000 0.529000
    1964       8 0.018000 0.572000
    1964       9 0.012000 0.614000
    1964      10 0.040000 0.654000
    1964      11 0.048000 0.694000
    1964      12 0.165000 0.732000
    1964      13 0.190000 0.770000
    1964      14 0.128000 0.806000
    1964      15 0.080000 0.841000
    1964      16 0.038000 0.876000
    1964      17 0.030000 0.909000
    1964      18 0.027000 0.942000
    1964      19 0.065000 0.973000
    1964      20 0.048000 1.000000
    1964      21 0.035000 1.030000
    1964      22 0.030000 1.060000
    1964      23 0.012000 1.090000
    1964      24 0.017000 1.120000
    1964      25 0.003000 1.150000
    1964      26 0.012000 1.170000
    1964      27 0.002000 1.200000
    1964      28 0.000000 1.220000
    1964      29 0.000000 1.000000
    1965       7 0.003000 0.529000
    1965       8 0.004000 0.572000
    1965       9 0.025000 0.614000
    1965      10 0.051000 0.654000
    1965      11 0.067000 0.694000
    1965      12 0.170000 0.732000
    1965      13 0.272000 0.770000
    1965      14 0.138000 0.806000
    1965      15 0.074000 0.841000
    1965      16 0.037000 0.876000
    1965      17 0.037000 0.909000
    1965      18 0.026000 0.942000
    1965      19 0.031000 0.973000
    1965      20 0.018000 1.000000
    1965      21 0.018000 1.030000
    1965      22 0.011000 1.060000
    1965      23 0.009000 1.090000
    1965      24 0.004000 1.120000
    1965      25 0.003000 1.150000
    1965      26 0.002000 1.170000
    1965      27 0.000000 1.200000
    1965      28 0.000000 1.220000
    1965      29 0.000000 1.000000
